reading_id,device_id,timestamp,pm25_raw,pm10_raw,co_raw,temperature,humidity,no2_mv,no2_raw
1312,device_01,2025-11-06 13:47:01.76904,28,29,47,27.6,84,749.2,783
1313,device_05,2025-11-06 13:49:39.564183,13,13,205,25.8,85.7,618.9,584
1314,device_01,2025-11-06 13:52:12.392831,30,30,47,27.5,84.2,755.1,790
1315,device_05,2025-11-06 13:54:47.17663,9,11,205,25.8,85.7,624,593
1316,device_01,2025-11-06 13:57:20.67659,27,28,47,27.3,83.8,754.4,791
1317,device_05,2025-11-06 13:59:54.241963,19,19,202,25.8,85.8,610.2,576
1318,device_01,2025-11-06 14:02:32.075636,25,29,49,27.4,84,747,783
1319,device_05,2025-11-06 14:05:01.310334,19,19,202,25.8,86,615.2,579
1320,device_01,2025-11-06 14:07:40.684017,29,30,46,27.2,84.2,737.1,766
1321,device_05,2025-11-06 14:10:08.647267,18,18,198,25.8,86.2,614,587
1322,device_01,2025-11-06 14:12:49.778605,25,28,48,27.4,85,731.1,761
1323,device_05,2025-11-06 14:15:15.669742,11,14,195,25.7,86.4,595.3,558
1324,device_01,2025-11-06 14:18:02.070936,24,28,45,27.4,85,735.5,765
1325,device_05,2025-11-06 14:20:22.964626,15,16,190,25.6,86.7,590.1,551
1326,device_01,2025-11-06 14:23:10.283477,26,27,48,27.5,85,737,767
1327,device_05,2025-11-06 14:25:30.22258,16,17,192,25.6,87,611.9,581
1328,device_01,2025-11-06 14:28:18.826026,23,26,48,27.2,85,736,768
1329,device_05,2025-11-06 14:30:37.92522,13,13,200,25.7,87.3,615,579
1330,device_01,2025-11-06 14:33:29.412394,24,24,47,27.2,85,735.9,766
1331,device_05,2025-11-06 14:35:45.059883,14,14,196,25.7,87.4,610.7,572
1332,device_01,2025-11-06 14:38:38.018624,25,27,46,27.6,85.3,726.9,757
1333,device_05,2025-11-06 14:40:51.984628,19,19,190,25.6,87.9,608.9,571
1334,device_01,2025-11-06 14:43:46.636874,23,23,46,27.5,85.8,729.6,759
1335,device_05,2025-11-06 14:45:59.235271,10,10,192,25.6,88.2,609.4,575
1336,device_01,2025-11-06 14:48:55.234151,26,27,47,27.5,86,728.8,757
1337,device_05,2025-11-06 14:51:06.321921,9,9,197,25.7,88.4,623,585
1338,device_01,2025-11-06 14:54:03.350298,24,24,45,27.5,86,731.6,763
1339,device_05,2025-11-06 14:56:13.501709,13,13,192,25.7,88.4,597.9,559
1340,device_01,2025-11-06 14:59:11.344502,21,23,48,27.5,86,730,758
